Model,Train RMSE,Test RMSE,Train MAE,Test MAE,Train R²,Test R²
Linear Regression,10.73319529314154,9.303055432685435,6.772702763961484,6.480591792409207,0.9968383744796221,0.9971775754635717
Ridge,10.735323486895519,9.27985437855105,6.764583424580834,6.474101800148429,0.9968371205718016,0.9971916356978783
Lasso,10.74627802868946,9.277515081693972,6.734747757539901,6.45580499444185,0.9968306623458087,0.9971930514032276
SVR,53.49447332129501,12.360385430675473,7.705370541524419,6.6483118050692065,0.9214637432947186,0.9950176394933025
Random Forest,7.091070188713546,10.03380645890154,2.41817287968442,5.984743392504928,0.998620010017886,0.9967167605235694
Gradient Boosting,5.891799000595765,8.996500362126048,3.8932861485795804,5.528824809122657,0.9990473174503516,0.9973605203071861
